devolucao_id,pedido_id,produto_id,data_solicitacao,data_processamento,quantidade,valor_estornado,motivo,condicao_retorno,custo_logistico
DEV00238,PED007887,PRD0003,2025-12-19,2025-12-20,2,254.49,VALIDADE,REVENDAVEL,22.23
DEV00239,PED005284,PRD0001,2025-08-05,2025-08-12,1,41.8,QUALIDADE,DESCARTE,27.56
DEV00240,PED001036,PRD0001,2025-02-17,2025-02-27,1,79.48,AVARIA,REVENDAVEL,19.59
DEV00241,PED014488,PRD0033,2026-06-11,2026-06-15,1,189.94,QUALIDADE,REVENDAVEL,11.41
DEV00242,PED004395,PRD0002,2025-06-25,2025-06-29,1,114.08,VALIDADE,DESCARTE,19.71
DEV00243,PED007416,PRD0014,2025-11-02,2025-11-08,1,122.45,VALIDADE,REVENDAVEL,30.0
DEV00244,PED001430,PRD0011,2025-03-10,2025-03-18,1,103.51,QUALIDADE,AVARIADO,30.07
DEV00245,PED013777,PRD0016,2026-05-29,2026-06-03,1,137.41,QUALIDADE,REVENDAVEL,25.78
DEV00246,PED009449,PRD0148,2026-01-18,2026-01-22,2,19.66,ARREPENDIMENTO,REVENDAVEL,30.22
DEV00247,PED010736,PRD0001,2026-03-03,2026-03-07,1,70.22,PRODUTO INCORRETO,REVENDAVEL,22.6
DEV00248,PED004249,PRD0002,2025-07-02,2025-07-08,1,81.51,,REVENDAVEL,16.99
DEV00249,PED006279,PRD0002,2025-09-26,2025-09-27,1,113.76,QUALIDADE,REVENDAVEL,23.01
DEV00250,PED014475,PRD0004,2026-05-29,2026-05-31,1,137.61,AVARIA,REVENDAVEL,26.68
DEV00251,PED003277,PRD0018,2025-06-07,2025-06-12,1,92.49,ARREPENDIMENTO,DESCARTE,19.3
DEV00252,PED009905,PRD0012,2026-02-08,2026-02-11,1,179.83,PRODUTO INCORRETO,AVARIADO,32.11
DEV00253,PED008353,PRD0021,2025-12-03,2025-12-13,1,93.28,VALIDADE,DESCARTE,34.32
DEV00254,PED001699,PRD0059,2025-04-23,2025-04-25,1,133.68,ARREPENDIMENTO,REVENDAVEL,33.77
DEV00255,PED000043,PRD0006,2025-01-27,2025-02-06,1,134.43,AVARIA,AVARIADO,12.83
DEV00256,PED014257,PRD0001,2026-06-13,2026-06-14,1,67.06,PRODUTO INCORRETO,DESCARTE,26.37
DEV00257,PED011367,PRD0018,2026-02-09,2026-02-14,1,79.1,AVARIA,AVARIADO,14.53
DEV00258,PED003665,PRD0021,2025-06-04,2025-06-09,1,102.17,PRODUTO INCORRETO,REVENDAVEL,22.9
DEV00259,PED009111,PRD0129,2025-12-25,2025-12-30,1,49.93,AVARIA,REVENDAVEL,27.84
DEV00260,PED006790,PRD0001,2025-09-25,2025-10-02,1,78.06,ARREPENDIMENTO,AVARIADO,33.34
DEV00261,PED003871,PRD0005,2025-06-19,2025-06-28,1,139.03,PRODUTO INCORRETO,REVENDAVEL,33.74
DEV00262,PED005870,PRD0001,2025-09-12,2025-09-14,2,164.64,ARREPENDIMENTO,REVENDAVEL,20.93
DEV00263,PED014096,PRD0003,2026-06-09,2026-06-12,1,139.39,ARREPENDIMENTO,DESCARTE,24.81
DEV00264,PED011626,PRD0090,2026-03-17,2026-03-19,1,54.6,ARREPENDIMENTO,REVENDAVEL,18.46
DEV00265,PED010450,PRD0013,2026-02-05,2026-02-13,1,175.32,AVARIA,REVENDAVEL,30.19
DEV00266,PED014752,PRD0001,2026-06-02,2026-06-08,1,82.47,ARREPENDIMENTO,REVENDAVEL,31.1
DEV00267,PED013353,PRD0018,2026-05-02,2026-05-12,1,74.2,AVARIA,DESCARTE,33.58
DEV00268,PED013138,PRD0022,2026-05-01,2026-05-11,1,91.0,ARREPENDIMENTO,REVENDAVEL,10.73
DEV00269,PED005016,PRD0001,2025-08-03,2025-08-13,1,82.45,PRODUTO INCORRETO,REVENDAVEL,12.64
DEV00270,PED003428,PRD0122,2025-06-15,2025-06-17,1,64.36,QUALIDADE,DESCARTE,29.52
DEV00271,PED001649,PRD0032,2025-04-01,2025-04-10,1,123.71,PRODUTO INCORRETO,REVENDAVEL,30.18
DEV00272,PED013818,PRD0023,2026-06-02,2026-06-06,1,185.99,PRODUTO INCORRETO,AVARIADO,12.98
DEV00273,PED009030,PRD0003,2026-01-17,2026-01-27,1,133.39,,REVENDAVEL,9.05
DEV00274,PED007679,PRD0003,2025-11-23,2025-11-29,1,125.12,PRODUTO INCORRETO,REVENDAVEL,10.18
DEV00275,PED013379,PRD0099,2026-05-12,2026-05-16,1,58.58,ARREPENDIMENTO,REVENDAVEL,15.57
DEV00276,PED013119,PRD0008,2026-05-06,2026-05-07,1,158.41,PRODUTO INCORRETO,DESCARTE,24.13
DEV00277,PED012243,PRD0008,2026-04-07,2026-04-13,1,144.88,ARREPENDIMENTO,REVENDAVEL,32.72
DEV00278,PED010360,PRD0005,2026-02-05,2026-02-11,1,147.04,QUALIDADE,REVENDAVEL,20.96
DEV00279,PED005773,PRD0132,2025-09-13,2025-09-19,1,52.55,QUALIDADE,REVENDAVEL,18.3
DEV00280,PED005465,PRD0095,2025-08-20,2025-08-30,1,21.31,PRODUTO INCORRETO,REVENDAVEL,21.23
DEV00281,PED006702,PRD0150,2025-10-03,2025-10-08,1,16.52,,AVARIADO,22.07
DEV00282,PED013407,PRD0061,2026-04-28,2026-05-06,1,108.45,ARREPENDIMENTO,REVENDAVEL,18.76
DEV00283,PED001957,PRD0001,2025-03-20,2025-03-25,1,92.25,PRODUTO INCORRETO,AVARIADO,33.28
DEV00284,PED006409,PRD0040,2025-10-23,2025-10-25,1,190.85,VALIDADE,AVARIADO,34.97
DEV00285,PED006007,PRD0063,2025-08-27,2025-09-03,1,124.89,PRODUTO INCORRETO,DESCARTE,30.51
DEV00286,PED011161,PRD0008,2026-03-08,2026-03-15,1,167.76,QUALIDADE,REVENDAVEL,18.04
DEV00287,PED003553,PRD0010,2025-06-06,2025-06-13,1,128.37,VALIDADE,REVENDAVEL,24.95
DEV00288,PED008483,PRD0060,2025-12-03,2025-12-08,1,71.46,QUALIDADE,REVENDAVEL,27.58
DEV00289,PED002509,PRD0030,2025-05-08,2025-05-18,1,141.94,ARREPENDIMENTO,AVARIADO,10.79
DEV00290,PED011492,PRD0001,2026-03-27,2026-04-03,2,183.59,ARREPENDIMENTO,AVARIADO,28.8
DEV00291,PED000072,PRD0001,2025-02-10,2025-02-16,1,91.31,QUALIDADE,REVENDAVEL,26.23
DEV00292,PED001223,PRD0011,2025-03-05,2025-03-10,1,112.55,VALIDADE,REVENDAVEL,33.22
DEV00293,PED014123,PRD0080,2026-06-23,2026-06-25,1,50.69,ARREPENDIMENTO,AVARIADO,16.99
DEV00294,PED005435,PRD0006,2025-09-02,2025-09-11,1,124.76,QUALIDADE,DESCARTE,29.51
DEV00295,PED001660,PRD0050,2025-04-08,2025-04-15,1,142.0,VALIDADE,REVENDAVEL,30.86
DEV00296,PED000270,PRD0081,2025-02-09,2025-02-12,1,78.12,QUALIDADE,REVENDAVEL,16.83
DEV00297,PED007518,PRD0009,2025-10-31,2025-11-05,1,149.35,PRODUTO INCORRETO,REVENDAVEL,31.03
DEV00298,PED003899,PRD0001,2025-07-01,2025-07-02,1,87.47,AVARIA,REVENDAVEL,29.96
DEV00299,PED005102,PRD0113,2025-07-23,2025-07-31,2,127.32,VALIDADE,REVENDAVEL,17.47
DEV00300,PED003647,PRD0079,2025-05-08,2025-05-17,1,83.85,PRODUTO INCORRETO,REVENDAVEL,12.1
DEV00301,PED004124,PRD0065,2025-07-22,2025-07-23,2,259.36,PRODUTO INCORRETO,REVENDAVEL,23.69
DEV00302,PED000874,PRD0002,2025-02-18,2025-02-28,2,222.28,AVARIA,AVARIADO,17.27
DEV00303,PED012780,PRD0001,2026-05-09,2026-05-11,2,149.98,QUALIDADE,DESCARTE,14.17
DEV00304,PED005846,PRD0008,2025-09-07,2025-09-17,1,172.19,VALIDADE,AVARIADO,30.53
DEV00305,PED011104,PRD0001,2026-02-28,2026-03-01,1,86.57,QUALIDADE,REVENDAVEL,27.86
DEV00306,PED003153,PRD0025,2025-05-24,2025-05-31,1,129.17,QUALIDADE,REVENDAVEL,31.01
DEV00307,PED011456,PRD0021,2026-02-24,2026-03-03,1,112.53,AVARIA,REVENDAVEL,15.99
DEV00308,PED011689,PRD0110,2026-02-26,2026-03-06,1,65.09,ARREPENDIMENTO,REVENDAVEL,9.01
DEV00309,PED005834,PRD0145,2025-09-14,2025-09-16,1,14.13,AVARIA,REVENDAVEL,17.12
DEV00310,PED013920,PRD0074,2026-06-12,2026-06-15,1,94.29,QUALIDADE,REVENDAVEL,26.95
DEV00311,PED012491,PRD0115,2026-04-08,2026-04-10,1,48.08,AVARIA,REVENDAVEL,22.12
DEV00312,PED002252,PRD0006,2025-05-11,2025-05-18,1,126.22,VALIDADE,AVARIADO,20.57
DEV00313,PED007213,PRD0014,2025-11-05,2025-11-14,1,120.26,AVARIA,REVENDAVEL,27.35
DEV00314,PED009100,PRD0025,2025-12-29,2026-01-04,1,126.93,PRODUTO INCORRETO,REVENDAVEL,27.88
DEV00315,PED003915,PRD0151,2025-06-15,2025-06-19,1,17.37,PRODUTO INCORRETO,REVENDAVEL,20.39
DEV00316,PED007188,PRD0136,2025-10-28,2025-11-05,1,69.41,,AVARIADO,31.75
DEV00317,PED007076,PRD0110,2025-10-30,2025-11-09,1,68.07,VALIDADE,REVENDAVEL,12.14
DEV00318,PED001376,PRD0001,2025-03-12,2025-03-17,1,77.61,ARREPENDIMENTO,REVENDAVEL,22.47
DEV00319,PED002065,PRD0059,2025-04-12,2025-04-14,1,128.48,QUALIDADE,REVENDAVEL,32.67
DEV00320,PED002248,PRD0001,2025-04-20,2025-04-28,1,82.95,QUALIDADE,REVENDAVEL,27.13
DEV00321,PED008486,PRD0014,2025-11-30,2025-12-08,2,249.15,ARREPENDIMENTO,AVARIADO,8.26
DEV00322,PED011170,PRD0106,2026-03-16,2026-03-25,1,61.06,VALIDADE,REVENDAVEL,17.13
DEV00323,PED012436,PRD0037,2026-04-19,2026-04-21,2,281.99,QUALIDADE,DESCARTE,33.27
DEV00324,PED009554,PRD0001,2026-01-20,2026-01-30,1,69.75,AVARIA,REVENDAVEL,34.85
DEV00325,PED005806,PRD0066,2025-09-07,2025-09-10,1,121.99,PRODUTO INCORRETO,DESCARTE,10.79
DEV00326,PED001174,PRD0001,2025-03-01,2025-03-05,1,87.8,ARREPENDIMENTO,REVENDAVEL,17.51
DEV00327,PED010039,PRD0017,2026-02-20,2026-02-23,1,211.66,ARREPENDIMENTO,DESCARTE,28.93
DEV00328,PED005990,PRD0005,2025-08-31,2025-09-06,2,198.4,PRODUTO INCORRETO,REVENDAVEL,8.08
DEV00329,PED004011,PRD0016,2025-06-18,2025-06-24,1,129.57,PRODUTO INCORRETO,REVENDAVEL,15.38
DEV00330,PED004401,PRD0104,2025-06-30,2025-07-09,1,8.63,QUALIDADE,REVENDAVEL,18.64
DEV00331,PED012837,PRD0002,2026-05-17,2026-05-24,1,97.38,PRODUTO INCORRETO,REVENDAVEL,34.2
DEV00332,PED007111,PRD0046,2025-11-10,2025-11-15,2,155.13,,REVENDAVEL,33.83
DEV00333,PED011260,PRD0048,2026-03-09,2026-03-12,1,76.12,QUALIDADE,REVENDAVEL,30.67
DEV00334,PED009669,PRD0011,2026-02-22,2026-02-28,1,116.05,PRODUTO INCORRETO,DESCARTE,24.06
DEV00335,PED010247,PRD0012,2026-01-26,2026-01-30,1,181.43,PRODUTO INCORRETO,REVENDAVEL,15.08
DEV00336,PED012389,PRD0004,2026-04-01,2026-04-06,1,127.38,QUALIDADE,REVENDAVEL,21.98
DEV00337,PED011426,PRD0001,2026-03-04,2026-03-11,1,90.12,PRODUTO INCORRETO,AVARIADO,9.69
DEV00338,PED011554,PRD0010,2026-02-27,2026-02-28,1,109.92,PRODUTO INCORRETO,REVENDAVEL,15.48
DEV00339,PED014718,PRD0084,2026-06-21,2026-06-24,1,0.0,QUALIDADE,REVENDAVEL,33.3
DEV00340,PED006737,PRD0001,2025-10-09,2025-10-16,1,86.94,PRODUTO INCORRETO,DESCARTE,11.52
DEV00341,PED000113,PRD0002,2025-01-31,2025-02-05,1,114.9,QUALIDADE,REVENDAVEL,10.6
DEV00342,PED007916,PRD0001,2025-12-18,2025-12-20,1,84.17,VALIDADE,DESCARTE,20.02
DEV00343,PED009240,PRD0020,2026-01-02,2026-01-05,1,107.75,AVARIA,DESCARTE,21.11
DEV00344,PED006118,PRD0004,2025-08-20,2025-08-26,1,121.32,VALIDADE,REVENDAVEL,29.0
DEV00345,PED005132,PRD0018,2025-07-18,2025-07-27,1,83.14,,AVARIADO,11.88
DEV00346,PED001222,PRD0001,2025-03-09,2025-03-16,1,86.49,AVARIA,DESCARTE,10.66
DEV00347,PED008928,PRD0021,2026-01-12,2026-01-14,1,107.24,ARREPENDIMENTO,AVARIADO,12.21
DEV00348,PED001556,PRD0002,2025-04-06,2025-04-14,1,122.98,AVARIA,REVENDAVEL,8.93
DEV00349,PED008968,PRD0002,2025-12-26,2026-01-02,1,122.53,PRODUTO INCORRETO,REVENDAVEL,25.42
DEV00350,PED001986,PRD0014,2025-03-17,2025-03-19,2,239.69,ARREPENDIMENTO,REVENDAVEL,26.8
DEV00351,PED009002,PRD0005,2026-01-19,2026-01-24,1,146.07,PRODUTO INCORRETO,DESCARTE,9.31
DEV00352,PED012959,PRD0003,2026-04-17,2026-04-27,1,133.23,AVARIA,AVARIADO,31.13
DEV00353,PED003927,PRD0086,2025-07-03,2025-07-06,1,75.42,AVARIA,DESCARTE,21.77
DEV00354,PED010013,PRD0149,2026-02-01,2026-02-11,1,24.04,AVARIA,AVARIADO,10.78
DEV00355,PED015269,PRD0090,2026-06-20,2026-06-29,1,51.78,ARREPENDIMENTO,DESCARTE,23.95
DEV00356,PED006327,PRD0040,2025-09-27,2025-10-05,1,196.58,ARREPENDIMENTO,REVENDAVEL,15.61
DEV00357,PED011827,PRD0011,2026-03-17,2026-03-18,1,102.93,PRODUTO INCORRETO,REVENDAVEL,10.43
DEV00358,PED012537,PRD0016,2026-04-11,2026-04-17,1,129.93,ARREPENDIMENTO,REVENDAVEL,27.86
DEV00359,PED012884,PRD0005,2026-04-25,2026-04-27,1,128.57,PRODUTO INCORRETO,REVENDAVEL,15.65
DEV00360,PED000277,PRD0002,2025-02-15,2025-02-21,2,213.37,ARREPENDIMENTO,REVENDAVEL,27.72
DEV00361,PED001184,PRD0001,2025-03-21,2025-03-31,1,91.62,QUALIDADE,REVENDAVEL,17.54
DEV00362,PED009578,PRD0001,2026-01-22,2026-01-30,1,69.62,AVARIA,AVARIADO,18.61
DEV00363,PED004761,PRD0001,2025-08-04,2025-08-11,1,78.87,AVARIA,REVENDAVEL,11.86
DEV00364,PED006121,PRD0012,2025-08-26,2025-09-01,1,168.13,AVARIA,REVENDAVEL,23.52
DEV00365,PED008005,PRD0001,2025-12-17,2025-12-22,1,77.85,VALIDADE,AVARIADO,24.99
DEV00366,PED006559,PRD0057,2025-10-05,2025-10-11,1,129.72,ARREPENDIMENTO,AVARIADO,20.26
DEV00367,PED002802,PRD0007,2025-04-24,2025-04-27,1,102.88,ARREPENDIMENTO,DESCARTE,13.53
DEV00368,PED006728,PRD0047,2025-10-03,2025-10-11,1,84.68,AVARIA,AVARIADO,26.11
DEV00369,PED010886,PRD0004,2026-03-19,2026-03-22,1,143.44,AVARIA,AVARIADO,22.97
DEV00370,PED011113,PRD0003,2026-03-25,2026-04-01,1,152.22,AVARIA,REVENDAVEL,17.93
DEV00371,PED008329,PRD0008,2025-12-11,2025-12-17,1,139.55,ARREPENDIMENTO,REVENDAVEL,20.84
DEV00372,PED010967,PRD0004,2026-03-15,2026-03-23,1,139.6,AVARIA,DESCARTE,11.38
DEV00373,PED008460,PRD0052,2025-11-17,2025-11-27,1,111.26,VALIDADE,REVENDAVEL,32.99
DEV00374,PED008113,PRD0020,2025-12-02,2025-12-04,1,98.35,AVARIA,REVENDAVEL,33.33
DEV00375,PED009843,PRD0032,2026-02-04,2026-02-14,1,124.89,QUALIDADE,REVENDAVEL,9.48
DEV00376,PED000247,PRD0001,2025-01-29,2025-02-03,1,90.93,QUALIDADE,REVENDAVEL,22.29
DEV00377,PED010143,PRD0077,2026-02-10,2026-02-18,2,174.02,VALIDADE,REVENDAVEL,21.15
DEV00378,PED000123,PRD0001,2025-02-09,2025-02-13,1,83.91,VALIDADE,REVENDAVEL,31.21
DEV00379,PED000829,PRD0043,2025-03-27,2025-03-31,1,73.75,PRODUTO INCORRETO,REVENDAVEL,23.87
DEV00380,PED012107,PRD0006,2026-04-03,2026-04-08,1,126.01,AVARIA,REVENDAVEL,9.05
DEV00381,PED011049,PRD0019,2026-03-16,2026-03-24,1,187.29,ARREPENDIMENTO,REVENDAVEL,31.51
DEV00382,PED011080,PRD0061,2026-03-23,2026-03-26,1,113.19,PRODUTO INCORRETO,REVENDAVEL,30.35
DEV00383,PED014404,PRD0019,2026-06-07,2026-06-16,1,185.25,QUALIDADE,REVENDAVEL,16.33
DEV00384,PED013537,PRD0001,2026-05-12,2026-05-22,2,130.19,QUALIDADE,AVARIADO,20.85
DEV00385,PED013722,PRD0026,2026-05-17,2026-05-22,2,210.64,VALIDADE,REVENDAVEL,24.84
DEV00386,PED006792,PRD0006,2025-09-26,2025-10-06,1,109.23,PRODUTO INCORRETO,REVENDAVEL,18.8
DEV00387,PED003308,PRD0002,2025-05-30,2025-06-07,1,125.17,QUALIDADE,AVARIADO,24.21
DEV00388,PED015309,PRD0045,2026-06-29,2026-07-08,1,101.08,AVARIA,REVENDAVEL,25.22
DEV00389,PED007676,PRD0024,2025-11-25,2025-12-01,1,87.06,AVARIA,DESCARTE,17.12
DEV00390,PED005085,PRD0004,2025-08-22,2025-09-01,1,112.17,PRODUTO INCORRETO,REVENDAVEL,23.01
DEV00391,PED011878,PRD0004,2026-04-04,2026-04-12,1,123.31,AVARIA,AVARIADO,25.54
DEV00392,PED011519,PRD0012,2026-02-16,2026-02-21,1,181.28,PRODUTO INCORRETO,AVARIADO,26.34
DEV00393,PED010062,PRD0002,2026-02-06,2026-02-08,1,123.54,AVARIA,AVARIADO,30.33
DEV00394,PED001293,PRD0110,2025-03-05,2025-03-06,1,67.27,QUALIDADE,REVENDAVEL,29.32
DEV00395,PED000495,PRD0003,2025-02-08,2025-02-13,1,146.23,VALIDADE,REVENDAVEL,33.06
DEV00396,PED010251,PRD0039,2026-02-02,2026-02-03,1,128.77,PRODUTO INCORRETO,DESCARTE,16.51
DEV00397,PED004402,PRD0137,2025-06-17,2025-06-25,2,66.43,PRODUTO INCORRETO,REVENDAVEL,31.88
DEV00398,PED004788,PRD0016,2025-08-22,2025-08-25,1,138.55,QUALIDADE,DESCARTE,10.05
DEV00399,PED003484,PRD0057,2025-06-05,2025-06-11,1,129.76,PRODUTO INCORRETO,REVENDAVEL,13.8
DEV00400,PED002683,PRD0025,2025-05-06,2025-05-09,1,127.17,ARREPENDIMENTO,AVARIADO,32.08
DEV00401,PED005962,PRD0069,2025-09-18,2025-09-22,1,78.12,PRODUTO INCORRETO,REVENDAVEL,23.83
DEV00402,PED013992,PRD0001,2026-06-02,2026-06-09,1,94.23,PRODUTO INCORRETO,REVENDAVEL,19.52
DEV00403,PED001274,PRD0010,2025-02-22,2025-02-24,1,120.97,QUALIDADE,REVENDAVEL,17.29
DEV00404,PED010955,PRD0006,2026-03-06,2026-03-09,1,136.35,QUALIDADE,AVARIADO,20.63
DEV00405,PED013910,PRD0167,2026-05-23,2026-06-01,2,21.2,VALIDADE,REVENDAVEL,24.75
DEV00406,PED012614,PRD0008,2026-04-07,2026-04-08,1,140.01,QUALIDADE,REVENDAVEL,19.69
DEV00407,PED005683,PRD0010,2025-08-31,2025-09-04,1,114.44,QUALIDADE,REVENDAVEL,34.68
DEV00408,PED011391,PRD0021,2026-03-04,2026-03-12,1,103.71,PRODUTO INCORRETO,DESCARTE,25.26
DEV00409,PED012078,PRD0002,2026-03-30,2026-04-07,1,107.01,AVARIA,REVENDAVEL,9.13
DEV00410,PED015173,PRD0005,2026-06-27,2026-07-06,2,281.53,ARREPENDIMENTO,AVARIADO,32.54
DEV00411,PED003419,PRD0002,2025-06-07,2025-06-11,1,111.17,VALIDADE,AVARIADO,8.48
DEV00412,PED002291,PRD0019,2025-05-08,2025-05-17,1,192.62,AVARIA,REVENDAVEL,11.09
DEV00413,PED013696,PRD0019,2026-05-08,2026-05-10,1,103.75,AVARIA,REVENDAVEL,29.52
DEV00414,PED011457,PRD0119,2026-02-21,2026-02-24,1,53.15,QUALIDADE,REVENDAVEL,12.09
DEV00415,PED014253,PRD0008,2026-05-17,2026-05-27,2,308.84,QUALIDADE,DESCARTE,19.37
DEV00416,PED002044,PRD0001,2025-04-01,2025-04-08,1,74.25,VALIDADE,REVENDAVEL,24.49
DEV00417,PED002385,PRD0035,2025-05-09,2025-05-18,1,144.78,AVARIA,AVARIADO,23.4
DEV00418,PED003026,PRD0053,2025-06-02,2025-06-06,1,114.9,ARREPENDIMENTO,AVARIADO,28.06
DEV00419,PED006891,PRD0016,2025-09-27,2025-10-06,2,233.05,PRODUTO INCORRETO,REVENDAVEL,32.76
DEV00420,PED003570,PRD0069,2025-06-20,2025-06-24,2,157.71,VALIDADE,AVARIADO,11.13
DEV00421,PED002927,PRD0031,2025-05-10,2025-05-14,1,150.38,ARREPENDIMENTO,REVENDAVEL,19.3
DEV00422,PED005459,PRD0089,2025-09-01,2025-09-03,1,79.13,AVARIA,REVENDAVEL,9.04
DEV00423,PED006453,PRD0007,2025-10-09,2025-10-11,1,91.35,AVARIA,REVENDAVEL,24.36
DEV00424,PED012955,PRD0006,2026-05-08,2026-05-17,1,120.96,AVARIA,DESCARTE,25.06
DEV00425,PED003523,PRD0013,2025-05-21,2025-05-24,2,297.09,ARREPENDIMENTO,AVARIADO,29.16
DEV00426,PED008046,PRD0027,2025-11-26,2025-12-05,1,178.2,ARREPENDIMENTO,AVARIADO,11.08
DEV00427,PED002384,PRD0104,2025-05-05,2025-05-08,1,69.93,QUALIDADE,REVENDAVEL,15.2
DEV00428,PED005124,PRD0009,2025-07-29,2025-08-03,1,136.26,QUALIDADE,REVENDAVEL,28.86
DEV00429,PED005777,PRD0003,2025-08-29,2025-09-03,1,126.71,AVARIA,REVENDAVEL,18.87
DEV00430,PED012739,PRD0001,2026-04-24,2026-05-04,1,82.83,ARREPENDIMENTO,REVENDAVEL,24.17
DEV00431,PED002602,PRD0011,2025-04-28,2025-04-30,1,114.15,AVARIA,REVENDAVEL,10.16
DEV00432,PED014166,PRD0165,2026-05-30,2026-06-02,1,18.03,QUALIDADE,REVENDAVEL,23.29
DEV00433,PED000775,PRD0009,2025-03-05,2025-03-07,1,152.61,PRODUTO INCORRETO,AVARIADO,32.11
DEV00434,PED002307,PRD0001,2025-05-01,2025-05-05,1,86.69,PRODUTO INCORRETO,REVENDAVEL,34.63
DEV00435,PED008746,PRD0156,2025-11-30,2025-12-09,2,31.35,ARREPENDIMENTO,REVENDAVEL,22.12
DEV00436,PED000337,PRD0013,2025-01-12,2025-01-18,1,147.14,PRODUTO INCORRETO,AVARIADO,13.14
DEV00437,PED007248,PRD0076,2025-11-04,2025-11-11,1,148.28,QUALIDADE,REVENDAVEL,12.25
DEV00438,PED011474,PRD0142,2026-03-05,2026-03-14,1,4.95,AVARIA,DESCARTE,25.81
DEV00439,PED011316,PRD0005,2026-03-07,2026-03-11,1,163.25,PRODUTO INCORRETO,DESCARTE,17.3
DEV00440,PED010834,PRD0009,2026-03-05,2026-03-15,1,159.19,VALIDADE,REVENDAVEL,15.03
DEV00441,PED007037,PRD0139,2025-11-08,2025-11-10,1,49.89,QUALIDADE,REVENDAVEL,34.11
DEV00442,PED013450,PRD0141,2026-05-07,2026-05-08,2,39.53,VALIDADE,REVENDAVEL,24.83
DEV00443,PED007862,PRD0031,2025-12-08,2025-12-14,1,156.14,AVARIA,AVARIADO,16.37
DEV00444,PED008823,PRD0025,2025-12-16,2025-12-22,1,0.0,ARREPENDIMENTO,REVENDAVEL,19.4
DEV00445,PED005303,PRD0085,2025-08-07,2025-08-10,1,55.5,QUALIDADE,REVENDAVEL,34.41
DEV00446,PED003753,PRD0004,2025-07-05,2025-07-08,1,127.64,VALIDADE,REVENDAVEL,32.44
DEV00447,PED010159,PRD0029,2026-01-30,2026-02-02,1,132.21,VALIDADE,REVENDAVEL,31.78
DEV00448,PED006996,PRD0001,2025-11-24,2025-12-03,1,79.33,QUALIDADE,REVENDAVEL,15.04
DEV00449,PED004197,PRD0112,2025-06-26,2025-06-27,1,66.5,VALIDADE,AVARIADO,25.55
DEV00450,PED014649,PRD0094,2026-06-10,2026-06-15,1,55.14,VALIDADE,REVENDAVEL,13.12
DEV00451,PED009569,PRD0126,2026-01-10,2026-01-11,2,83.18,AVARIA,AVARIADO,19.0
DEV00452,PED009869,PRD0012,2026-02-06,2026-02-13,1,179.78,ARREPENDIMENTO,AVARIADO,27.18
DEV00453,PED002140,PRD0016,2025-04-08,2025-04-10,1,123.78,PRODUTO INCORRETO,AVARIADO,22.26
DEV00454,PED006224,PRD0021,2025-10-08,2025-10-10,2,196.6,VALIDADE,REVENDAVEL,13.15
DEV00455,PED005026,PRD0020,2025-08-08,2025-08-13,1,108.18,ARREPENDIMENTO,AVARIADO,32.22
DEV00456,PED013543,PRD0002,2026-05-07,2026-05-12,1,114.91,ARREPENDIMENTO,DESCARTE,9.25
DEV00457,PED002243,PRD0060,2025-04-23,2025-04-27,1,74.91,AVARIA,REVENDAVEL,30.29
DEV00458,PED000892,PRD0012,2025-03-17,2025-03-22,1,190.19,VALIDADE,REVENDAVEL,28.97
DEV00459,PED003955,PRD0001,2025-06-25,2025-06-29,1,85.27,AVARIA,REVENDAVEL,14.76
DEV00460,PED002077,PRD0057,2025-04-18,2025-04-26,1,138.71,,DESCARTE,17.99
DEV00461,PED002444,PRD0016,2025-04-17,2025-04-18,1,110.58,ARREPENDIMENTO,AVARIADO,18.19
DEV00462,PED014504,PRD0110,2026-06-20,2026-06-23,1,66.29,,REVENDAVEL,13.55
DEV00463,PED008791,PRD0007,2025-12-08,2025-12-09,1,89.89,PRODUTO INCORRETO,REVENDAVEL,10.82
DEV00464,PED004269,PRD0001,2025-06-28,2025-07-06,1,85.7,AVARIA,REVENDAVEL,24.92
DEV00465,PED013672,PRD0015,2026-04-26,2026-04-29,2,301.62,ARREPENDIMENTO,DESCARTE,10.11
DEV00466,PED009332,PRD0003,2026-01-05,2026-01-14,1,149.27,AVARIA,REVENDAVEL,33.14
DEV00467,PED006220,PRD0001,2025-10-04,2025-10-09,1,83.93,ARREPENDIMENTO,AVARIADO,26.86
DEV00468,PED008491,PRD0002,2025-12-19,2025-12-27,1,113.19,,AVARIADO,14.87
DEV00469,PED005643,PRD0004,2025-08-22,2025-09-01,2,258.42,PRODUTO INCORRETO,DESCARTE,9.33
DEV00470,PED011138,PRD0003,2026-03-17,2026-03-19,2,323.71,AVARIA,AVARIADO,29.42
DEV00471,PED004380,PRD0035,2025-06-22,2025-06-29,1,104.86,VALIDADE,REVENDAVEL,33.97
DEV00472,PED001595,PRD0105,2025-03-25,2025-04-02,1,67.08,AVARIA,AVARIADO,21.98
DEV00473,PED012646,PRD0001,2026-03-20,2026-03-27,1,90.69,QUALIDADE,AVARIADO,21.5
DEV00474,PED012806,PRD0098,2026-05-03,2026-05-07,1,72.11,ARREPENDIMENTO,REVENDAVEL,14.09
DEV00475,PED010914,PRD0093,2026-03-12,2026-03-20,1,70.34,PRODUTO INCORRETO,AVARIADO,28.62
DEV00476,PED007109,PRD0007,2025-10-17,2025-10-27,1,95.85,QUALIDADE,REVENDAVEL,28.92
